xcoord	xcoord	ycoord	lab	tumor	tumor_id
E2_10.907_8.934	10.907	8.934	L1	non	non
E2_8.979_8.953	8.979	8.953	L2	non	non
E2_9.903_8.962	9.902999999999999	8.962	L3	non	non
E2_19.961_9.907	19.961	9.907	L4	non	non
E2_21.948_9.918	21.948	9.918	L5	non	non
E2_10.911_9.922	10.911	9.922	L6	non	non
E2_20.918_9.921	20.918000000000003	9.921	L7	non	non
E2_7.883_9.926	7.882999999999999	9.926	L8	non	non
E2_9.885_9.936	9.885	9.936	L9	non	non
E2_23.02_9.928	23.02	9.927999999999999	L10	non	non
E2_8.953_9.922	8.953	9.922	L11	non	non
E2_23.978_9.938	23.978	9.937999999999999	L12	non	non
E2_13.928_9.966	13.927999999999999	9.966000000000001	L13	non	non
E2_24.946_9.945	24.945999999999998	9.945	L14	tumor	T0
E2_14.915_9.983	14.915	9.982999999999999	L15	non	non
E2_21.91_10.877	21.91	10.877	L16	tumor	T0
E2_15.917_10.884	15.917	10.884	L17	non	non
E2_20.917_10.905	20.916999999999998	10.905	L18	non	non
E2_14.897_10.92	14.897	10.92	L19	non	non
E2_24.988_10.92	24.988000000000003	10.92	L20	tumor	T0
E2_25.918_10.902	25.918000000000003	10.902000000000001	L21	tumor	T0
E2_16.902_10.909	16.902	10.909	L22	non	non
E2_9.001_10.916	9.001	10.915999999999999	L23	non	non
E2_13.929_10.929	13.929	10.929	L24	non	non
E2_20.006_10.913	20.006	10.913	L25	non	non
E2_6.882_10.933	6.882000000000001	10.933	L26	non	non
E2_18.926_10.916	18.926	10.915999999999999	L27	non	non
E2_7.909_10.937	7.909	10.937000000000001	L28	non	non
E2_23.993_10.92	23.993000000000002	10.92	L29	tumor	T0
E2_9.884_10.939	9.884	10.939	L30	non	non
E2_12.006_10.952	12.005999999999998	10.952	L31	non	non
E2_23.017_10.954	23.017	10.954	L32	tumor	T0
E2_12.978_10.958	12.978	10.958	L33	non	non
E2_21.941_11.886	21.941	11.886	L34	tumor	T0
E2_8.979_11.877	8.979	11.877	L35	non	non
