xcoord	xcoord	ycoord	lab	tumor	tumor_id
E1_7_19	7	19	L152	tumor	T0
E1_17_19	17	19	L153	tumor	T0
E1_18_19	18	19	L154	tumor	T0
E1_23_19	23	19	L155	tumor	T0
E1_13_19	13	19	L156	tumor	T0
E1_6_19	6	19	L157	tumor	T0
E1_9_19	9	19	L158	tumor	T0
E1_16_19	16	19	L159	tumor	T0
E1_15_19	15	19	L160	tumor	T0
E1_12_19	12	19	L161	tumor	T0
E1_14_19	14	19	L162	tumor	T0
E1_8_19	8	19	L163	tumor	T0
E1_7_20	7	20	L164	tumor	T0
E1_21_20	21	20	L165	tumor	T0
E1_22_20	22	20	L166	tumor	T0
E1_26_20	26	20	L167	tumor	T0
E1_8_20	8	20	L168	tumor	T0
E1_10_20	10	20	L169	tumor	T0
E1_16_20	16	20	L170	tumor	T0
E1_19_20	19	20	L171	tumor	T0
E1_17_20	17	20	L172	tumor	T0
E1_11_20	11	20	L173	tumor	T0
E1_18_20	18	20	L174	tumor	T0
E1_20_20	20	20	L175	tumor	T0
E1_24_20	24	20	L176	tumor	T0
E1_9_20	9	20	L177	tumor	T0
E1_5_20	5	20	L178	tumor	T0
E1_23_20	23	20	L179	tumor	T0
E1_13_20	13	20	L180	tumor	T0
E1_12_20	12	20	L181	tumor	T0
E1_14_20	14	20	L182	tumor	T0
E1_15_20	15	20	L183	tumor	T0
E1_6_20	6	20	L184	tumor	T0
E1_25_20	25	20	L185	tumor	T0
E1_22_21	22	21	L186	tumor	T0
E1_11_21	11	21	L187	tumor	T0
E1_21_21	21	21	L188	tumor	T0
E1_10_21	10	21	L189	tumor	T0
E1_17_21	17	21	L190	tumor	T0
E1_20_21	20	21	L191	tumor	T0
E1_23_21	23	21	L192	tumor	T0
E1_19_21	19	21	L193	tumor	T0
E1_16_21	16	21	L194	tumor	T0
E1_18_21	18	21	L195	tumor	T0
E1_24_21	24	21	L196	tumor	T0
E1_6_21	6	21	L197	tumor	T0
E1_15_21	15	21	L198	tumor	T0
E1_5_21	5	21	L199	tumor	T0
E1_12_21	12	21	L200	tumor	T0
E1_9_21	9	21	L201	tumor	T0
E1_13_21	13	21	L202	tumor	T0
E1_14_21	14	21	L203	tumor	T0
E1_7_21	7	21	L204	tumor	T0
E1_8_21	8	21	L205	tumor	T0
E1_5_22	5	22	L206	tumor	T0
E1_10_22	10	22	L207	tumor	T0
E1_22_22	22	22	L208	tumor	T0
E1_21_22	21	22	L209	tumor	T0
E1_11_22	11	22	L210	tumor	T0
E1_9_22	9	22	L211	tumor	T0
E1_20_22	20	22	L212	tumor	T0
E1_15_22	15	22	L213	tumor	T0
E1_18_22	18	22	L214	tumor	T0
E1_16_22	16	22	L215	tumor	T0
E1_8_22	8	22	L216	tumor	T0
E1_14_22	14	22	L217	tumor	T0
E1_13_22	13	22	L218	tumor	T0
E1_17_22	17	22	L219	tumor	T0
E1_12_22	12	22	L220	tumor	T0
E1_7_22	7	22	L221	tumor	T0
E1_6_22	6	22	L222	tumor	T0
E1_11_23	11	23	L223	tumor	T0
E1_19_23	19	23	L224	tumor	T0
E1_10_23	10	23	L225	tumor	T0
E1_15_23	15	23	L226	tumor	T0
E1_5_23	5	23	L227	tumor	T0
E1_12_23	12	23	L228	tumor	T0
E1_18_23	18	23	L229	tumor	T0
E1_20_23	20	23	L230	tumor	T0
E1_9_23	9	23	L231	tumor	T0
E1_8_23	8	23	L232	tumor	T0
E1_13_23	13	23	L233	tumor	T0
E1_14_23	14	23	L234	tumor	T0
E1_17_23	17	23	L235	tumor	T0
