xcoord	xcoord	ycoord	lab	tumor	tumor_id
E1_10.911_12.902	10.911	12.902000000000001	L1	non	non
E1_12.021_12.963	12.020999999999999	12.963	L2	non	non
E1_15.977_13.907	15.977	13.907	L3	non	non
E1_8.994_13.906	8.994	13.905999999999999	L4	non	non
E1_9.899_13.926	9.899	13.925999999999998	L5	non	non
E1_10.942_13.936	10.942	13.936	L6	non	non
E1_14.925_13.935	14.925	13.935	L7	non	non
E1_13.971_13.949	13.970999999999998	13.949000000000002	L8	non	non
E1_21.98_14.845	21.98	14.845	L9	non	non
E1_10.934_14.911	10.934000000000001	14.911	L10	non	non
E1_27.007_14.877	27.006999999999998	14.877	L11	tumor	T0
E1_20.936_14.89	20.936	14.89	L12	non	non
E1_25.036_14.888	25.035999999999998	14.888	L13	tumor	T0
E1_25.986_14.891	25.986	14.890999999999998	L14	tumor	T0
E1_19.988_14.905	19.988	14.905	L15	non	non
E1_23.056_14.927	23.055999999999997	14.927	L16	non	non
E1_18.96_14.916	18.96	14.915999999999999	L17	non	non
E1_7.954_14.937	7.954	14.937000000000001	L18	non	non
E1_15.97_14.922	15.97	14.922	L19	non	non
E1_8.934_14.924	8.934	14.924000000000001	L20	non	non
E1_14.891_14.925	14.890999999999998	14.925	L21	non	non
E1_16.942_14.926	16.942	14.925999999999998	L22	non	non
E1_13.972_14.931	13.972000000000001	14.931	L23	non	non
E1_24.059_14.929	24.059	14.929	L24	non	non
E1_9.889_14.95	9.889	14.95	L25	non	non
E1_17.968_14.957	17.968	14.957	L26	non	non
E1_12.056_14.983	12.056	14.982999999999999	L27	non	non
E1_13.003_14.968	13.003	14.968	L28	non	non
E1_21.999_15.881	21.999000000000002	15.880999999999998	L29	tumor	T0
E1_20.948_15.903	20.948	15.902999999999999	L30	non	non
E1_27.035_15.906	27.035	15.905999999999999	L31	tumor	T0
E1_10.945_15.927	10.945	15.927	L32	non	non
E1_16.941_15.92	16.941	15.92	L33	non	non
E1_20.071_15.913	20.070999999999998	15.913	L34	non	non
E1_9.89_15.949	9.89	15.949000000000002	L35	non	non
E1_25.994_15.929	25.994	15.929	L36	tumor	T0
E1_15.992_15.939	15.992	15.939	L37	non	non
E1_17.938_15.941	17.938	15.940999999999999	L38	non	non
E1_25.054_15.935	25.054000000000002	15.935	L39	tumor	T0
E1_24.07_15.944	24.07	15.944	L40	tumor	T0
E1_23.098_15.962	23.098000000000003	15.962	L41	tumor	T0
E1_8.989_15.941	8.988999999999999	15.940999999999999	L42	non	non
E1_12.08_15.967	12.08	15.967	L43	non	non
E1_14.925_15.968	14.925	15.968	L44	non	non
E1_12.981_15.972	12.981	15.972000000000001	L45	non	non
E1_6.893_15.984	6.893	15.984000000000002	L46	non	non
E1_7.915_15.999	7.915	15.999	L47	non	non
E1_13.978_16.025	13.978	16.025	L48	non	non
E1_18.923_16.052	18.923	16.052	L49	non	non
E1_21.965_16.898	21.965	16.898	L50	tumor	T0
E1_27.979_16.897	27.979	16.897000000000002	L51	tumor	T0
E1_27.024_16.893	27.024	16.893	L52	tumor	T0
E1_10.973_16.94	10.972999999999999	16.94	L53	non	non
E1_25.951_16.904	25.951	16.904	L54	tumor	T0
E1_20.071_16.915	20.070999999999998	16.915	L55	non	non
E1_8.968_16.919	8.968	16.919	L56	non	non
E1_17.961_16.926	17.961	16.926	L57	non	non
E1_20.929_16.933	20.929000000000002	16.933	L58	tumor	T0
E1_15.968_16.935	15.968	16.935	L59	non	non
E1_18.956_16.94	18.956	16.94	L60	non	non
E1_14.921_16.944	14.921	16.944000000000003	L61	non	non
E1_16.929_16.942	16.929000000000002	16.942	L62	non	non
E1_7.891_16.947	7.891	16.947	L63	non	non
E1_9.908_16.957	9.908	16.957	L64	non	non
E1_6.884_16.963	6.8839999999999995	16.963	L65	non	non
E1_24.979_16.983	24.979	16.983	L66	tumor	T0
E1_23.071_16.994	23.070999999999998	16.994	L67	tumor	T0
E1_24.11_16.971	24.11	16.971	L68	tumor	T0
E1_13.016_17.01	13.015999999999998	17.01	L69	non	non
E1_12.027_17.022	12.027000000000001	17.022000000000002	L70	non	non
E1_21.967_17.883	21.967	17.883	L71	tumor	T0
E1_10.943_17.912	10.943	17.912	L72	non	non
E1_27.983_17.893	27.983	17.893	L73	tumor	T0
E1_20.064_17.904	20.064	17.904	L74	tumor	T0
E1_25.963_17.901	25.963	17.901	L75	tumor	T0
E1_27.027_17.909	27.026999999999997	17.909000000000002	L76	tumor	T0
E1_9.85_17.931	9.85	17.930999999999997	L77	non	non
E1_25.02_17.92	25.02	17.92	L78	tumor	T0
E1_15.963_17.918	15.963	17.918	L79	non	non
E1_18.969_17.923	18.969	17.923	L80	non	non
E1_14.939_17.927	14.939	17.927	L81	non	non
E1_16.919_17.937	16.919	17.937	L82	non	non
E1_8.995_17.944	8.995	17.944000000000003	L83	non	non
E1_20.958_17.943	20.958000000000002	17.942999999999998	L84	tumor	T0
E1_23.082_17.979	23.081999999999997	17.979	L85	tumor	T0
E1_13.966_17.968	13.966	17.968	L86	non	non
E1_24.08_17.964	24.08	17.964000000000002	L87	tumor	T0
E1_7.906_17.973	7.906000000000001	17.973	L88	non	non
E1_6.865_17.983	6.865	17.983	L89	non	non
E1_12.97_17.99	12.97	17.99	L90	non	non
E1_12.057_18.016	12.057	18.016	L91	non	non
E1_12.091_18.858	12.091	18.858	L92	non	non
E1_10.942_18.888	10.942	18.887999999999998	L93	non	non
E1_21.988_18.894	21.988000000000003	18.894000000000002	L94	tumor	T0
E1_16.937_18.888	16.937	18.887999999999998	L95	non	non
E1_27.04_18.884	27.04	18.884	L96	tumor	T0
E1_6.882_18.895	6.882000000000001	18.895	L97	non	non
E1_27.977_18.903	27.976999999999997	18.903	L98	tumor	T0
E1_25.019_18.893	25.019000000000002	18.893	L99	tumor	T0
E1_20.954_18.925	20.954	18.925	L100	tumor	T0
E1_25.994_18.918	25.994	18.918	L101	tumor	T0
E1_18.956_18.929	18.956	18.929000000000002	L102	tumor	T0
E1_7.918_18.918	7.917999999999999	18.918	L103	tumor	T0
E1_17.963_18.931	17.963	18.930999999999997	L104	tumor	T0
E1_20.059_18.93	20.059	18.93	L105	tumor	T0
E1_14.93_18.942	14.93	18.942	L106	tumor	T0
E1_8.962_18.933	8.962	18.933	L107	non	non
E1_15.951_18.936	15.950999999999999	18.936	L108	tumor	T0
E1_23.091_18.959	23.090999999999998	18.959	L109	tumor	T0
E1_24.059_18.956	24.059	18.956	L110	tumor	T0
E1_9.923_18.955	9.923	18.955	L111	non	non
E1_12.987_18.969	12.987	18.969	L112	tumor	T0
E1_13.972_18.963	13.972000000000001	18.963	L113	tumor	T0
E1_27.97_19.812	27.97	19.812	L114	tumor	T0
E1_21.991_19.89	21.991	19.89	L115	tumor	T0
E1_20.033_19.918	20.033	19.918	L116	tumor	T0
E1_27.052_19.906	27.052	19.906	L117	tumor	T0
E1_15.952_19.923	15.952	19.923	L118	tumor	T0
E1_25.042_19.93	25.041999999999998	19.93	L119	tumor	T0
E1_25.993_19.931	25.993000000000002	19.930999999999997	L120	tumor	T0
E1_16.935_19.927	16.935	19.927	L121	tumor	T0
E1_18.98_19.937	18.98	19.937	L122	tumor	T0
E1_20.943_19.943	20.943	19.942999999999998	L123	tumor	T0
E1_23.121_19.952	23.121	19.952	L124	tumor	T0
E1_17.959_19.953	17.959	19.953	L125	non	non
E1_10.872_19.956	10.872	19.956	L126	non	non
E1_14.934_19.957	14.934000000000001	19.957	L127	tumor	T0
E1_8.968_19.964	8.968	19.964000000000002	L128	tumor	T0
E1_14.022_19.956	14.022	19.956	L129	tumor	T0
E1_24.049_19.977	24.049	19.977	L130	tumor	T0
E1_11.998_19.999	11.998	19.999000000000002	L131	tumor	T0
E1_9.98_19.982	9.98	19.982	L132	tumor	T0
