xcoord	xcoord	ycoord	lab	tumor	tumor_id
D2_21.927_18.937	21.927	18.937	L104	tumor	T0
D2_20.894_18.947	20.894000000000002	18.947	L105	tumor	T0
D2_10.919_18.956	10.919	18.956	L106	tumor	T0
D2_27.891_18.955	27.891	18.955	L107	tumor	T0
D2_9.883_18.962	9.883	18.962	L108	tumor	T0
D2_26.919_18.963	26.919	18.963	L109	tumor	T0
D2_7.923_18.97	7.922999999999999	18.97	L110	tumor	T0
D2_15.911_18.971	15.911	18.971	L111	tumor	T0
D2_23.03_18.986	23.03	18.986	L112	tumor	T0
D2_8.947_18.985	8.947000000000001	18.985	L113	tumor	T0
D2_14.977_18.982	14.977	18.982	L114	tumor	T0
D2_19.958_18.989	19.958	18.989	L115	tumor	T0
D2_16.88_18.984	16.88	18.984	L116	tumor	T0
D2_25.982_18.984	25.982	18.984	L117	tumor	T0
D2_12.028_19.005	12.027999999999999	19.005	L118	tumor	T0
D2_17.912_18.997	17.912	18.997	L119	tumor	T0
D2_18.945_19.02	18.945	19.02	L120	tumor	T0
D2_23.991_19	23.991	19.0	L121	tumor	T0
D2_12.99_19.004	12.99	19.004	L122	non	non
D2_13.963_19.014	13.963	19.014	L123	tumor	T0
D2_24.987_19.003	24.987	19.003	L124	tumor	T0
D2_27.892_19.957	27.892	19.957	L125	tumor	T0
D2_20.892_19.958	20.892	19.958	L126	tumor	T0
D2_21.924_19.977	21.924	19.977	L127	tumor	T0
D2_26.903_19.953	26.903000000000002	19.953	L128	tumor	T0
D2_19.977_19.969	19.977	19.969	L129	tumor	T0
D2_18.92_19.972	18.92	19.972	L130	tumor	T0
D2_9.891_19.974	9.891	19.974	L131	tumor	T0
D2_26.001_19.971	26.000999999999998	19.971	L132	tumor	T0
D2_10.882_19.997	10.882	19.997	L133	tumor	T0
D2_17.924_19.986	17.924	19.986	L134	tumor	T0
D2_24.004_19.993	24.004	19.993	L135	tumor	T0
D2_15.909_19.996	15.909	19.996	L136	tumor	T0
D2_6.931_20.008	6.931	20.008	L137	tumor	T0
D2_23.047_20.005	23.046999999999997	20.005	L138	tumor	T0
D2_24.975_19.991	24.975	19.991	L139	tumor	T0
D2_16.888_20.02	16.887999999999998	20.02	L140	tumor	T0
D2_14.975_20.013	14.975	20.012999999999998	L141	tumor	T0
D2_7.912_20.018	7.912000000000001	20.018	L142	tumor	T0
D2_13.974_20.014	13.974	20.014	L143	tumor	T0
D2_8.967_20.03	8.967	20.03	L144	tumor	T0
D2_12.039_20.044	12.039000000000001	20.044	L145	tumor	T0
D2_12.978_20.042	12.978	20.042	L146	tumor	T0
D2_6.93_20.968	6.93	20.968000000000004	L147	tumor	T0
D2_21.918_20.954	21.918000000000003	20.954	L148	tumor	T0
D2_26.924_20.961	26.924	20.961	L149	tumor	T0
D2_20.899_20.967	20.899	20.967	L150	tumor	T0
D2_9.891_20.978	9.891	20.978	L151	tumor	T0
D2_18.923_20.978	18.923	20.978	L152	tumor	T0
D2_10.911_20.992	10.911	20.991999999999997	L153	tumor	T0
D2_15.922_20.987	15.922	20.987	L154	tumor	T0
D2_17.922_20.983	17.922	20.983	L155	tumor	T0
D2_25.98_20.975	25.98	20.975	L156	tumor	T0
D2_24.971_21	24.971	21.0	L157	tumor	T0
D2_8.96_21.007	8.96	21.006999999999998	L158	tumor	T0
D2_16.895_20.997	16.895	20.997	L159	tumor	T0
D2_19.985_20.997	19.985	20.997	L160	tumor	T0
D2_12.993_21.016	12.993	21.016	L161	tumor	T0
D2_23.993_21.005	23.993000000000002	21.005	L162	tumor	T0
D2_23.042_21.019	23.041999999999998	21.019000000000002	L163	tumor	T0
D2_7.91_21.01	7.91	21.01	L164	tumor	T0
D2_13.968_21.017	13.968	21.017	L165	tumor	T0
D2_14.97_21.016	14.97	21.016	L166	tumor	T0
D2_12.038_21.036	12.038	21.035999999999998	L167	tumor	T0
D2_20.895_21.935	20.895	21.935	L168	tumor	T0
D2_21.934_21.96	21.934	21.96	L169	tumor	T0
D2_10.927_21.978	10.927	21.978	L170	tumor	T0
D2_9.887_21.986	9.887	21.986	L171	tumor	T0
D2_25.971_21.975	25.971	21.975	L172	tumor	T0
D2_15.91_21.983	15.91	21.983	L173	tumor	T0
D2_17.931_21.985	17.930999999999997	21.985	L174	tumor	T0
D2_18.924_21.991	18.924	21.991	L175	tumor	T0
D2_19.999_21.993	19.999000000000002	21.993000000000002	L176	tumor	T0
D2_7.918_22.002	7.917999999999999	22.002	L177	tumor	T0
D2_14.971_22.009	14.970999999999998	22.009	L178	tumor	T0
D2_5.881_22.017	5.881	22.017	L179	tumor	T0
D2_8.967_22.012	8.967	22.011999999999997	L180	tumor	T0
D2_16.895_22.012	16.895	22.011999999999997	L181	tumor	T0
D2_6.915_22.011	6.915	22.011	L182	tumor	T0
D2_24.986_22.011	24.986	22.011	L183	tumor	T0
D2_13.012_22.022	13.012	22.022	L184	non	non
D2_12.034_22.048	12.034	22.048000000000002	L185	tumor	T0
D2_13.971_22.023	13.970999999999998	22.023000000000003	L186	tumor	T0
D2_23.055_22.041	23.055	22.041	L187	tumor	T0
D2_21.916_22.956	21.916	22.956	L188	tumor	T0
D2_20.902_22.946	20.901999999999997	22.945999999999998	L189	tumor	T0
D2_24.006_22.966	24.006	22.965999999999998	L190	tumor	T0
D2_18.955_22.957	18.955	22.956999999999997	L191	tumor	T0
D2_9.911_22.981	9.911	22.980999999999998	L192	tumor	T0
D2_10.909_22.999	10.909	22.999000000000002	L193	tumor	T0
D2_23.042_22.997	23.041999999999998	22.997	L194	tumor	T0
D2_24.961_22.992	24.961	22.991999999999997	L195	tumor	T0
D2_19.98_22.985	19.98	22.985	L196	tumor	T0
D2_25.986_22.989	25.986	22.989	L197	tumor	T0
D2_14.967_22.999	14.967	22.999000000000002	L198	tumor	T0
D2_13.964_23.01	13.964	23.01	L199	tumor	T0
D2_7.923_23.017	7.922999999999999	23.017	L200	tumor	T0
D2_15.898_23.008	15.898	23.008000000000003	L201	tumor	T0
D2_8.967_23.017	8.967	23.017	L202	tumor	T0
D2_6.92_23.021	6.92	23.021	L203	tumor	T0
D2_13.018_23.016	13.017999999999999	23.016	L204	tumor	T0
D2_16.913_23.017	16.913	23.017	L205	tumor	T0
D2_12.05_23.038	12.05	23.038	L206	tumor	T0
D2_17.921_23.032	17.921	23.031999999999996	L207	tumor	T0
D2_5.887_23.036	5.8870000000000005	23.035999999999998	L208	tumor	T0
D2_21.935_23.981	21.935	23.980999999999998	L209	tumor	T0
D2_20.906_23.973	20.906	23.973000000000003	L210	tumor	T0
D2_10.938_23.997	10.937999999999999	23.997	L211	tumor	T0
D2_19.983_23.986	19.983	23.986	L212	tumor	T0
D2_24.973_23.987	24.973000000000003	23.987	L213	tumor	T0
D2_17.915_24.003	17.915	24.003	L214	tumor	T0
D2_18.929_23.999	18.929000000000002	23.999000000000002	L215	tumor	T0
D2_15.924_24.002	15.924000000000001	24.002	L216	tumor	T0
D2_12.044_24.024	12.044	24.024	L217	tumor	T0
D2_9.916_24.028	9.916	24.028000000000002	L218	tumor	T0
D2_16.891_24.013	16.891	24.013	L219	tumor	T0
D2_23.998_24.018	23.998	24.018	L220	tumor	T0
D2_6.91_24.021	6.91	24.021	L221	tumor	T0
D2_13.004_24.028	13.004000000000001	24.028000000000002	L222	non	non
D2_23.034_24.038	23.034000000000002	24.038	L223	tumor	T0
