xcoord	xcoord	ycoord	lab	tumor	tumor_id
C2_10.869_16.903	10.869000000000002	16.903	L103	tumor	T0
C2_9.853_16.894	9.853	16.894000000000002	L104	tumor	T0
C2_23.042_16.917	23.041999999999998	16.917	L105	tumor	T0
C2_7.882_16.914	7.882000000000001	16.914	L106	tumor	T0
C2_19.984_16.911	19.984	16.910999999999998	L107	tumor	T0
C2_26.02_16.91	26.02	16.91	L108	tumor	T0
C2_4.833_16.919	4.833	16.919	L109	tumor	T0
C2_15.876_16.915	15.876	16.915	L110	tumor	T0
C2_3.906_16.935	3.906	16.935	L111	tumor	T0
C2_24.997_16.928	24.997	16.928	L112	tumor	T0
C2_5.81_16.928	5.81	16.928	L113	tumor	T0
C2_8.937_16.917	8.937000000000001	16.917	L114	tumor	T0
C2_17.903_16.931	17.903	16.930999999999997	L115	tumor	T0
C2_23.996_16.924	23.996	16.924	L116	tumor	T0
C2_6.848_16.936	6.848	16.936	L117	tumor	T0
C2_14.986_16.938	14.985999999999999	16.938	L118	tumor	T0
C2_11.97_16.946	11.97	16.945999999999998	L119	tumor	T0
C2_18.927_16.936	18.927	16.936	L120	tumor	T0
C2_16.871_16.941	16.871	16.941	L121	tumor	T0
C2_12.968_16.952	12.968	16.952	L122	tumor	T0
C2_13.931_16.952	13.931	16.952	L123	tumor	T0
C2_21.922_17.866	21.921999999999997	17.866	L124	tumor	T0
C2_20.907_17.864	20.906999999999996	17.864	L125	tumor	T0
C2_10.879_17.894	10.879000000000001	17.894000000000002	L126	tumor	T0
C2_19.992_17.888	19.992	17.887999999999998	L127	tumor	T0
C2_27.935_17.904	27.935	17.904	L128	tumor	T0
C2_26.944_17.903	26.944000000000003	17.903	L129	tumor	T0
C2_15.911_17.909	15.911	17.909000000000002	L130	tumor	T0
C2_4.84_17.912	4.84	17.912	L131	tumor	T0
C2_18.928_17.928	18.928	17.928	L132	tumor	T0
C2_23.039_17.937	23.039	17.937	L133	tumor	T0
C2_8.958_17.926	8.958	17.926	L134	tumor	T0
C2_14.942_17.93	14.942	17.93	L135	tumor	T0
C2_16.885_17.929	16.885	17.929000000000002	L136	tumor	T0
C2_7.865_17.952	7.865	17.952	L137	tumor	T0
C2_3.907_17.942	3.907	17.942	L138	tumor	T0
C2_6.865_17.945	6.865	17.945	L139	tumor	T0
C2_12.979_17.946	12.979000000000001	17.945999999999998	L140	tumor	T0
C2_24.013_17.935	24.013	17.935	L141	tumor	T0
C2_12.008_17.958	12.008	17.958	L142	tumor	T0
C2_24.993_17.955	24.993000000000002	17.955	L143	tumor	T0
C2_13.929_17.957	13.929	17.957	L144	tumor	T0
C2_25.963_17.967	25.963	17.967	L145	tumor	T0
C2_9.842_17.992	9.842	17.992	L146	tumor	T0
C2_20.904_18.831	20.904	18.831	L147	tumor	T0
C2_10.895_18.883	10.895	18.883	L148	tumor	T0
C2_25.145_18.89	25.145	18.89	L149	tumor	T0
C2_15.901_18.882	15.901	18.882	L150	tumor	T0
C2_9.861_18.9	9.861	18.9	L151	tumor	T0
C2_21.932_18.898	21.932	18.898	L152	tumor	T0
C2_25.973_18.897	25.973000000000003	18.897000000000002	L153	tumor	T0
C2_26.949_18.893	26.949	18.893	L154	tumor	T0
C2_19.989_18.91	19.989	18.91	L155	tumor	T0
C2_27.931_18.898	27.930999999999997	18.898	L156	tumor	T0
C2_17.891_18.911	17.891	18.910999999999998	L157	tumor	T0
C2_14.972_18.919	14.972000000000001	18.919	L158	tumor	T0
C2_23.052_18.917	23.052	18.917	L159	tumor	T0
C2_18.933_18.923	18.933	18.923	L160	tumor	T0
C2_8.936_18.91	8.936	18.91	L161	tumor	T0
C2_16.876_18.921	16.875999999999998	18.921	L162	tumor	T0
C2_23.972_18.934	23.971999999999998	18.934	L163	tumor	T0
C2_12.011_18.942	12.011	18.942	L164	tumor	T0
C2_7.881_18.931	7.881	18.930999999999997	L165	tumor	T0
C2_4.835_18.936	4.835	18.936	L166	tumor	T0
C2_12.952_18.952	12.952	18.952	L167	tumor	T0
C2_6.879_18.944	6.879	18.944000000000003	L168	tumor	T0
C2_13.951_18.962	13.950999999999999	18.962	L169	tumor	T0
C2_5.824_18.978	5.824	18.977999999999998	L170	tumor	T0
C2_20.895_19.901	20.895	19.901	L171	tumor	T0
C2_21.919_19.917	21.919	19.917	L172	tumor	T0
C2_26.945_19.92	26.945	19.92	L173	tumor	T0
C2_27.941_19.923	27.941	19.923	L174	tumor	T0
C2_15.887_19.912	15.887	19.912	L175	non	non
C2_23.087_19.926	23.087	19.926	L176	tumor	T0
C2_10.897_19.93	10.897	19.93	L177	tumor	T0
C2_18.938_19.937	18.938	19.937	L178	tumor	T0
C2_19.989_19.924	19.989	19.924	L179	tumor	T0
C2_8.926_19.943	8.926	19.942999999999998	L180	non	non
C2_16.891_19.941	16.891	19.941	L181	tumor	T0
C2_25.008_19.953	25.008000000000003	19.953	L182	tumor	T0
C2_26.093_19.953	26.093000000000004	19.953	L183	tumor	T0
C2_5.835_19.961	5.835	19.961	L184	tumor	T0
C2_12.03_19.966	12.03	19.965999999999998	L185	tumor	T0
C2_14.954_19.946	14.954	19.945999999999998	L186	tumor	T0
C2_24.017_19.953	24.017	19.953	L187	tumor	T0
C2_6.867_19.956	6.867000000000001	19.956	L188	tumor	T0
C2_13.951_19.973	13.950999999999999	19.973	L189	tumor	T0
C2_17.91_19.961	17.91	19.961	L190	tumor	T0
C2_7.916_19.964	7.916	19.964000000000002	L191	tumor	T0
C2_12.946_19.97	12.946	19.97	L192	tumor	T0
C2_9.881_20.884	9.881	20.884	L193	tumor	T0
C2_8.958_20.899	8.958	20.899	L194	non	non
C2_20.897_20.902	20.897	20.901999999999997	L195	tumor	T0
C2_10.904_20.925	10.904000000000002	20.925	L196	tumor	T0
C2_26.957_20.902	26.956999999999997	20.901999999999997	L197	tumor	T0
C2_21.909_20.906	21.909000000000002	20.906	L198	tumor	T0
C2_27.911_20.911	27.910999999999998	20.910999999999998	L199	tumor	T0
C2_26.005_20.909	26.005	20.909000000000002	L200	tumor	T0
C2_19.996_20.915	19.996	20.915	L201	tumor	T0
C2_15.89_20.929	15.89	20.929000000000002	L202	non	non
C2_5.853_20.944	5.853	20.944000000000003	L203	tumor	T0
C2_6.879_20.943	6.879	20.943	L204	tumor	T0
C2_7.876_20.95	7.876	20.95	L205	non	non
C2_13.96_20.949	13.96	20.949	L206	tumor	T0
C2_14.956_20.952	14.956	20.951999999999998	L207	tumor	T0
C2_17.93_20.943	17.93	20.943	L208	tumor	T0
C2_24.011_20.949	24.011	20.949	L209	tumor	T0
C2_12.951_20.961	12.950999999999999	20.961	L210	tumor	T0
C2_23.034_20.957	23.034000000000002	20.956999999999997	L211	tumor	T0
C2_24.992_20.955	24.991999999999997	20.955	L212	tumor	T0
C2_18.896_20.973	18.896	20.973000000000003	L213	tumor	T0
C2_12.011_20.974	12.011	20.974	L214	tumor	T0
C2_16.884_20.955	16.884	20.955	L215	tumor	T0
C2_21.956_21.897	21.956	21.897	L216	tumor	T0
C2_9.867_21.908	9.867	21.908	L217	tumor	T0
C2_10.913_21.924	10.913	21.924	L218	tumor	T0
C2_20.901_21.902	20.901	21.901999999999997	L219	tumor	T0
C2_19.986_21.909	19.986	21.909000000000002	L220	tumor	T0
C2_26.946_21.925	26.945999999999998	21.925	L221	tumor	T0
C2_18.924_21.926	18.924	21.926	L222	tumor	T0
C2_26.016_21.936	26.016	21.936	L223	tumor	T0
C2_7.881_21.944	7.881	21.944000000000003	L224	non	non
C2_27.933_21.943	27.933000000000003	21.943	L225	tumor	T0
C2_8.925_21.948	8.925	21.948	L226	non	non
C2_14.96_21.94	14.96	21.94	L227	tumor	T0
C2_15.89_21.938	15.89	21.938000000000002	L228	tumor	T0
C2_11.998_21.963	11.998	21.963	L229	tumor	T0
C2_17.917_21.952	17.917	21.951999999999998	L230	tumor	T0
C2_23.059_21.958	23.059	21.958000000000002	L231	tumor	T0
C2_12.965_21.963	12.965	21.963	L232	tumor	T0
C2_16.879_21.958	16.879	21.958000000000002	L233	tumor	T0
C2_6.876_21.965	6.876	21.965	L234	non	non
C2_24.993_21.96	24.993000000000002	21.96	L235	tumor	T0
C2_13.928_21.975	13.927999999999999	21.975	L236	tumor	T0
C2_21.922_22.909	21.921999999999997	22.909000000000002	L237	tumor	T0
C2_20.897_22.915	20.897	22.915	L238	tumor	T0
C2_10.878_22.944	10.878	22.944000000000003	L239	tumor	T0
C2_19.996_22.928	19.996	22.928	L240	tumor	T0
C2_26.957_22.935	26.956999999999997	22.935	L241	tumor	T0
C2_25.998_22.933	25.998	22.933000000000003	L242	tumor	T0
C2_9.866_22.945	9.866	22.945	L243	tumor	T0
C2_15.888_22.94	15.888	22.94	L244	tumor	T0
C2_23.043_22.948	23.043000000000003	22.948	L245	tumor	T0
C2_18.927_22.948	18.927	22.948	L246	tumor	T0
C2_14.977_22.953	14.977	22.953000000000003	L247	tumor	T0
C2_17.914_22.951	17.914	22.951	L248	tumor	T0
C2_24.996_22.948	24.996	22.948	L249	tumor	T0
C2_8.943_22.957	8.943	22.956999999999997	L250	tumor	T0
C2_24.022_22.956	24.022	22.956	L251	tumor	T0
C2_12.976_22.965	12.975999999999999	22.965	L252	tumor	T0
C2_7.881_22.97	7.881	22.97	L253	tumor	T0
C2_12.019_22.983	12.019	22.983	L254	tumor	T0
C2_16.899_22.968	16.899	22.968000000000004	L255	tumor	T0
C2_6.884_22.979	6.8839999999999995	22.979	L256	tumor	T0
C2_13.952_22.974	13.952	22.974	L257	tumor	T0
C2_21.926_23.907	21.926	23.906999999999996	L258	tumor	T0
C2_20.917_23.909	20.916999999999998	23.909000000000002	L259	tumor	T0
C2_18.909_23.921	18.909000000000002	23.921	L260	non	non
C2_9.873_23.923	9.873	23.923000000000002	L261	tumor	T0
C2_15.899_23.942	15.899000000000001	23.941999999999997	L262	tumor	T0
C2_17.925_23.945	17.925	23.945	L263	tumor	T0
C2_8.924_23.953	8.924	23.953000000000003	L264	tumor	T0
C2_10.894_23.955	10.894	23.955	L265	tumor	T0
C2_20.006_23.952	20.006	23.951999999999998	L266	tumor	T0
C2_23.014_23.955	23.014	23.955	L267	tumor	T0
C2_6.875_23.967	6.875	23.967	L268	tumor	T0
C2_16.885_23.97	16.885	23.97	L269	tumor	T0
C2_12.961_23.98	12.960999999999999	23.98	L270	tumor	T0
C2_24.028_23.974	24.028000000000002	23.974	L271	tumor	T0
C2_7.859_23.981	7.859	23.980999999999998	L272	tumor	T0
C2_13.95_23.984	13.95	23.984	L273	tumor	T0
C2_14.964_23.995	14.964	23.995	L274	tumor	T0
C2_12.013_23.994	12.013	23.994	L275	tumor	T0
C2_12.937_24.936	12.937000000000001	24.936	L276	tumor	T0
C2_10.858_24.945	10.857999999999999	24.945	L277	tumor	T0
C2_19.986_24.949	19.986	24.949	L278	tumor	T0
C2_9.87_24.933	9.87	24.933000000000003	L279	tumor	T0
C2_18.944_24.944	18.944000000000003	24.944000000000003	L280	tumor	T0
C2_15.906_24.955	15.905999999999999	24.955	L281	tumor	T0
C2_8.933_24.961	8.933	24.961	L282	tumor	T0
C2_17.923_24.955	17.923	24.955	L283	tumor	T0
C2_14.964_24.958	14.964	24.958000000000002	L284	tumor	T0
C2_13.944_24.977	13.944	24.976999999999997	L285	tumor	T0
C2_12.024_24.993	12.024000000000001	24.993000000000002	L286	tumor	T0
C2_16.898_24.974	16.898	24.974	L287	tumor	T0
C2_10.918_25.942	10.918	25.941999999999997	L288	tumor	T0
C2_9.863_25.942	9.863	25.941999999999997	L289	tumor	T0
C2_15.909_25.962	15.909	25.962	L290	tumor	T0
C2_14.962_25.967	14.962	25.967	L291	tumor	T0
C2_8.931_25.977	8.931000000000001	25.976999999999997	L292	tumor	T0
C2_17.934_25.966	17.934	25.965999999999998	L293	tumor	T0
C2_13.98_25.991	13.98	25.991	L294	tumor	T0
C2_13_25.999	13.0	25.999000000000002	L295	tumor	T0
C2_12.027_26.01	12.027000000000001	26.01	L296	tumor	T0
C2_16.908_25.992	16.908	25.991999999999997	L297	tumor	T0
C2_9.89_26.957	9.89	26.956999999999997	L298	tumor	T0
C2_10.923_26.961	10.923	26.961	L299	tumor	T0
C2_8.94_26.972	8.94	26.971999999999998	L300	tumor	T0
C2_14.964_26.981	14.964	26.980999999999998	L301	tumor	T0
C2_15.913_26.969	15.913	26.969	L302	tumor	T0
C2_12.033_27.006	12.033	27.006	L303	tumor	T0
C2_16.901_26.997	16.901	26.997	L304	tumor	T0
C2_13.974_27.003	13.974	27.003	L305	tumor	T0
C2_12.987_27.016	12.987	27.016	L306	tumor	T0
C2_10.92_27.964	10.92	27.964000000000002	L307	tumor	T0
C2_9.863_27.971	9.863	27.971	L308	tumor	T0
C2_13.963_27.986	13.963	27.986	L309	tumor	T0
C2_11.983_28.015	11.982999999999999	28.015	L310	tumor	T0
C2_12.965_28.009	12.965	28.009	L311	tumor	T0
C2_10.906_28.969	10.905999999999999	28.969	L312	tumor	T0
C2_9.864_28.965	9.863999999999999	28.965	L313	tumor	T0
C2_12.982_29.004	12.982000000000001	29.004	L314	tumor	T0
C2_12.006_29.016	12.005999999999998	29.016	L315	tumor	T0
C2_10.904_29.984	10.904000000000002	29.984	L316	tumor	T0
C2_9.891_29.985	9.891	29.985	L317	tumor	T0
