xcoord	xcoord	ycoord	lab	tumor	tumor_id
E2_24.915_7.054	24.915	7.053999999999999	L1	tumor	T0
E2_25.87_7.05	25.87	7.05	L2	tumor	T0
E2_25.873_8.024	25.873	8.024	L3	tumor	T0
E2_24.905_8.03	24.905	8.03	L4	tumor	T0
E2_22.986_8.043	22.986	8.043	L5	tumor	T0
E2_26.89_8.054	26.89	8.054	L6	tumor	T0
E2_23.966_8.051	23.965999999999998	8.051	L7	tumor	T0
E2_21.866_8.97	21.866	8.97	L8	tumor	T0
E2_20.85_8.973	20.85	8.972999999999999	L9	tumor	T0
E2_19.985_8.988	19.985	8.988	L10	tumor	T0
E2_22.974_9.027	22.974	9.027000000000001	L11	tumor	T0
E2_23.955_9.022	23.955	9.022	L12	tumor	T0
E2_24.921_9.019	24.921	9.019	L13	tumor	T0
E2_25.877_9.068	25.877	9.068	L14	tumor	T0
E2_26.899_9.098	26.899	9.097999999999999	L15	tumor	T0
E2_16.89_9.961	16.89	9.961	L16	tumor	T0
E2_21.866_9.959	21.866	9.959	L17	tumor	T0
E2_19.992_9.963	19.992	9.963	L18	tumor	T0
E2_20.876_9.947	20.875999999999998	9.947000000000001	L19	tumor	T0
E2_18.892_9.972	18.892	9.972000000000001	L20	tumor	T0
E2_17.884_9.973	17.884	9.972999999999999	L21	tumor	T0
E2_24.914_9.995	24.914	9.995	L22	tumor	T0
E2_22.972_10.007	22.971999999999998	10.007	L23	tumor	T0
E2_25.872_9.994	25.872	9.994	L24	tumor	T0
E2_23.965_10.004	23.965	10.004	L25	tumor	T0
E2_26.878_10.011	26.878	10.011000000000001	L26	tumor	T0
E2_19.954_10.908	19.954	10.908	L27	tumor	T0
E2_21.866_10.935	21.866	10.935	L28	tumor	T0
E2_16.869_10.938	16.869	10.937999999999999	L29	tumor	T0
E2_18.883_10.96	18.883	10.96	L30	tumor	T0
E2_15.918_10.965	15.918	10.965	L31	tumor	T0
E2_17.913_10.965	17.913	10.965	L32	tumor	T0
E2_20.853_10.971	20.853	10.970999999999998	L33	tumor	T0
E2_25.873_10.974	25.873	10.974	L34	tumor	T0
E2_13.959_11	13.959000000000001	11.0	L35	tumor	T0
E2_27.844_10.984	27.844	10.984000000000002	L36	tumor	T0
E2_22.968_11.001	22.968000000000004	11.001	L37	tumor	T0
E2_26.881_10.981	26.881	10.981	L38	tumor	T0
E2_12.956_11.018	12.956	11.017999999999999	L39	tumor	T0
E2_24.936_10.999	24.936	10.999	L40	tumor	T0
E2_23.967_11.005	23.967	11.005	L41	tumor	T0
E2_21.882_11.937	21.881999999999998	11.937000000000001	L42	tumor	T0
E2_10.86_11.935	10.86	11.935	L43	tumor	T0
E2_20.846_11.935	20.846	11.935	L44	tumor	T0
E2_19.972_11.939	19.972	11.939	L45	tumor	T0
E2_24.924_11.961	24.924	11.960999999999999	L46	tumor	T0
E2_17.899_11.952	17.899	11.952	L47	tumor	T0
E2_25.892_11.966	25.892	11.966	L48	tumor	T0
E2_16.857_11.959	16.857	11.959000000000001	L49	tumor	T0
E2_18.873_11.962	18.873	11.962	L50	tumor	T0
E2_26.876_11.973	26.875999999999998	11.972999999999999	L51	tumor	T0
E2_14.911_11.969	14.911	11.969000000000001	L52	tumor	T0
E2_27.852_11.981	27.851999999999997	11.981	L53	tumor	T0
E2_22.983_11.989	22.983	11.989	L54	tumor	T0
E2_11.991_12.012	11.991	12.012	L55	tumor	T0
E2_15.909_11.982	15.909	11.982000000000001	L56	tumor	T0
E2_23.96_11.993	23.96	11.993	L57	tumor	T0
E2_12.999_12.003	12.999	12.003	L58	tumor	T0
E2_13.947_12.003	13.947000000000001	12.003	L59	tumor	T0
E2_20.86_12.904	20.86	12.904000000000002	L60	tumor	T0
E2_21.868_12.932	21.868000000000002	12.932	L61	tumor	T0
E2_9.882_12.934	9.882	12.934000000000001	L62	tumor	T0
E2_19.977_12.932	19.977	12.932	L63	tumor	T0
E2_10.901_12.957	10.901	12.957	L64	tumor	T0
E2_28.873_12.961	28.873	12.960999999999999	L65	tumor	T0
E2_18.885_12.952	18.885	12.952	L66	tumor	T0
E2_22.98_12.971	22.98	12.970999999999998	L67	tumor	T0
E2_27.846_12.967	27.846	12.967	L68	tumor	T0
E2_14.902_12.965	14.902000000000001	12.965	L69	tumor	T0
E2_15.915_12.966	15.915	12.966	L70	tumor	T0
E2_25.88_12.963	25.88	12.963	L71	tumor	T0
E2_17.898_12.969	17.898	12.969000000000001	L72	tumor	T0
E2_26.887_12.961	26.886999999999997	12.960999999999999	L73	tumor	T0
E2_13.936_12.973	13.936	12.972999999999999	L74	tumor	T0
E2_23.963_12.984	23.963	12.984000000000002	L75	tumor	T0
E2_24.923_12.979	24.923000000000002	12.979000000000001	L76	tumor	T0
E2_12.003_13.005	12.003	13.005	L77	tumor	T0
E2_16.872_12.985	16.872	12.985	L78	tumor	T0
E2_13_12.995	13.0	12.995	L79	tumor	T0
E2_19.932_13.875	19.932000000000002	13.875	L80	tumor	T0
E2_10.874_13.921	10.874	13.921	L81	tumor	T0
E2_9.888_13.915	9.888	13.915	L82	tumor	T0
E2_20.86_13.912	20.86	13.912	L83	tumor	T0
E2_28.868_13.955	28.868000000000002	13.955	L84	tumor	T0
E2_18.891_13.944	18.891	13.944	L85	tumor	T0
E2_21.902_13.955	21.901999999999997	13.955	L86	tumor	T0
E2_25.866_13.931	25.866	13.931	L87	tumor	T0
E2_13.945_13.945	13.945	13.945	L88	tumor	T0
E2_14.905_13.943	14.905	13.943	L89	tumor	T0
E2_27.839_13.947	27.839000000000002	13.947000000000001	L90	tumor	T0
