xcoord	xcoord	ycoord	lab	tumor	tumor_id
E2_23.987_15.98	23.987	15.98	L104	tumor	T0
E2_8.97_15.978	8.97	15.978	L105	tumor	T0
E2_6.916_15.995	6.916	15.995	L106	tumor	T0
E2_16.887_15.998	16.887	15.998	L107	tumor	T0
E2_12.032_16.022	12.032	16.022000000000002	L108	tumor	T0
E2_18.923_16.947	18.923	16.947	L109	tumor	T0
E2_20.902_16.946	20.901999999999997	16.945999999999998	L110	tumor	T0
E2_23.994_16.956	23.994	16.956	L111	tumor	T0
E2_19.96_16.948	19.96	16.948	L112	tumor	T0
E2_10.932_16.975	10.932	16.975	L113	tumor	T0
E2_23.026_16.967	23.026	16.967	L114	tumor	T0
E2_21.924_16.971	21.924	16.971	L115	tumor	T0
E2_9.877_16.962	9.877	16.962	L116	tumor	T0
E2_15.899_16.972	15.899000000000001	16.972	L117	tumor	T0
E2_24.961_16.971	24.961	16.971	L118	tumor	T0
E2_14.976_16.969	14.975999999999999	16.969	L119	tumor	T0
E2_17.919_16.983	17.919	16.983	L120	tumor	T0
E2_16.896_16.995	16.896	16.995	L121	tumor	T0
E2_13.983_17	13.982999999999999	17.0	L122	tumor	T0
E2_7.934_16.997	7.934	16.997	L123	tumor	T0
E2_12.995_17.004	12.995	17.004	L124	tumor	T0
E2_8.984_16.989	8.984	16.989	L125	tumor	T0
E2_12.045_17.012	12.045	17.012	L126	tumor	T0
E2_5.877_17.019	5.877000000000001	17.019000000000002	L127	tumor	T0
E2_6.893_17.043	6.893	17.043	L128	tumor	T0
E2_26.082_17.117	26.081999999999997	17.117	L129	tumor	T0
E2_20.889_17.925	20.889	17.925	L130	tumor	T0
E2_21.919_17.936	21.919	17.936	L131	tumor	T0
E2_19.984_17.947	19.984	17.947	L132	tumor	T0
E2_10.922_17.961	10.922	17.961	L133	tumor	T0
E2_9.893_17.955	9.892999999999999	17.955	L134	tumor	T0
E2_15.917_17.952	15.917	17.952	L135	tumor	T0
E2_25.005_17.981	25.005	17.980999999999998	L136	tumor	T0
E2_7.91_17.975	7.91	17.975	L137	tumor	T0
E2_23.043_17.978	23.043000000000003	17.977999999999998	L138	tumor	T0
E2_16.89_17.971	16.89	17.971	L139	tumor	T0
E2_18.919_17.975	18.919	17.975	L140	tumor	T0
E2_6.92_17.981	6.92	17.980999999999998	L141	tumor	T0
E2_8.944_17.976	8.943999999999999	17.976	L142	tumor	T0
E2_12.04_17.995	12.04	17.995	L143	tumor	T0
E2_12.995_17.983	12.995	17.983	L144	tumor	T0
E2_13.956_17.992	13.956	17.992	L145	tumor	T0
E2_24.009_17.991	24.009	17.991	L146	tumor	T0
E2_5.875_17.996	5.875	17.996	L147	tumor	T0
E2_14.975_18.006	14.975	18.006	L148	tumor	T0
E2_10.934_18.946	10.934000000000001	18.945999999999998	L149	tumor	T0
E2_20.918_18.941	20.918000000000003	18.941	L150	tumor	T0
E2_21.928_18.95	21.928	18.95	L151	tumor	T0
E2_18.914_18.945	18.914	18.945	L152	tumor	T0
E2_17.923_18.947	17.923	18.947	L153	tumor	T0
E2_19.974_18.957	19.974	18.957	L154	tumor	T0
E2_9.896_18.959	9.896	18.959	L155	tumor	T0
E2_6.918_18.973	6.917999999999999	18.973	L156	tumor	T0
E2_12.995_18.97	12.995	18.97	L157	tumor	T0
E2_7.918_18.967	7.917999999999999	18.967	L158	tumor	T0
E2_15.924_18.971	15.924000000000001	18.971	L159	tumor	T0
E2_8.956_18.979	8.956	18.979	L160	tumor	T0
E2_23.035_18.991	23.035	18.991	L161	tumor	T0
E2_24.981_18.975	24.980999999999998	18.975	L162	tumor	T0
E2_16.9_18.985	16.9	18.985	L163	tumor	T0
E2_5.88_18.986	5.88	18.986	L164	tumor	T0
E2_12.036_19.008	12.036	19.008	L165	tumor	T0
E2_13.971_18.988	13.970999999999998	18.988	L166	tumor	T0
E2_24.007_18.987	24.006999999999998	18.987000000000002	L167	tumor	T0
E2_14.984_19	14.984000000000002	19.0	L168	tumor	T0
E2_21.941_19.933	21.941	19.933	L169	tumor	T0
E2_20.92_19.938	20.92	19.938	L170	tumor	T0
E2_18.936_19.961	18.936	19.961	L171	tumor	T0
E2_24.012_19.97	24.011999999999997	19.97	L172	tumor	T0
E2_17.929_19.962	17.929000000000002	19.962	L173	tumor	T0
E2_19.974_19.973	19.974	19.973	L174	tumor	T0
E2_24.966_19.982	24.965999999999998	19.982	L175	tumor	T0
E2_9.887_19.976	9.887	19.976	L176	tumor	T0
E2_10.885_19.984	10.885	19.984	L177	tumor	T0
E2_16.898_19.974	16.898	19.974	L178	tumor	T0
E2_15.905_19.978	15.905	19.977999999999998	L179	tumor	T0
E2_14.991_19.992	14.991	19.992	L180	tumor	T0
E2_7.907_19.995	7.907	19.995	L181	tumor	T0
E2_23.06_20.004	23.06	20.004	L182	tumor	T0
E2_6.906_19.999	6.906000000000001	19.999000000000002	L183	tumor	T0
E2_13_20.015	13.0	20.015	L184	tumor	T0
E2_5.887_20.004	5.8870000000000005	20.004	L185	tumor	T0
E2_12.02_20.02	12.02	20.02	L186	tumor	T0
E2_13.969_20.005	13.969000000000001	20.005	L187	tumor	T0
E2_4.899_20.01	4.899	20.01	L188	tumor	T0
E2_8.965_20.021	8.965	20.021	L189	tumor	T0
E2_18.928_20.951	18.928	20.951	L190	tumor	T0
E2_9.892_20.958	9.892000000000001	20.958000000000002	L191	tumor	T0
E2_20.923_20.96	20.923000000000002	20.96	L192	tumor	T0
E2_21.933_20.968	21.933000000000003	20.968000000000004	L193	tumor	T0
E2_10.905_20.992	10.905	20.991999999999997	L194	tumor	T0
E2_19.974_20.975	19.974	20.975	L195	tumor	T0
E2_12.998_20.989	12.998	20.989	L196	tumor	T0
E2_24.021_20.989	24.021	20.989	L197	tumor	T0
E2_8.963_20.989	8.963	20.989	L198	tumor	T0
E2_13.974_20.99	13.974	20.99	L199	tumor	T0
E2_17.925_20.99	17.925	20.99	L200	tumor	T0
E2_14.989_20.991	14.989	20.991	L201	tumor	T0
E2_15.964_20.986	15.964	20.986	L202	tumor	T0
E2_23.057_21	23.057	21.0	L203	tumor	T0
E2_4.912_21.006	4.912	21.006	L204	tumor	T0
E2_16.906_21.001	16.906	21.000999999999998	L205	tumor	T0
E2_7.912_21.005	7.912000000000001	21.005	L206	tumor	T0
E2_12.028_21.019	12.027999999999999	21.019000000000002	L207	tumor	T0
E2_5.903_21.019	5.903	21.019000000000002	L208	tumor	T0
E2_6.904_21.027	6.904	21.026999999999997	L209	tumor	T0
E2_20.843_21.931	20.843000000000004	21.930999999999997	L210	tumor	T0
E2_21.934_21.952	21.934	21.951999999999998	L211	tumor	T0
E2_19.982_21.954	19.982	21.954	L212	tumor	T0
E2_9.889_21.965	9.889	21.965	L213	tumor	T0
E2_18.93_21.967	18.93	21.967	L214	tumor	T0
E2_10.928_21.993	10.927999999999999	21.993000000000002	L215	tumor	T0
E2_15.92_21.973	15.92	21.973000000000003	L216	tumor	T0
E2_8.953_21.98	8.953	21.98	L217	tumor	T0
E2_14.975_21.976	14.975	21.976	L218	tumor	T0
E2_17.941_21.984	17.941	21.984	L219	tumor	T0
E2_7.907_21.989	7.907	21.989	L220	tumor	T0
E2_13.963_21.993	13.963	21.993000000000002	L221	tumor	T0
E2_16.906_22.007	16.906	22.006999999999998	L222	tumor	T0
E2_6.907_22.005	6.907	22.005	L223	tumor	T0
E2_13.023_22.011	13.023	22.011	L224	tumor	T0
E2_23.057_22.006	23.057	22.006	L225	tumor	T0
E2_4.894_22.011	4.894	22.011	L226	tumor	T0
E2_12.036_22.037	12.036	22.037	L227	tumor	T0
E2_5.904_22.024	5.904	22.024	L228	tumor	T0
E2_3.966_22.035	3.966	22.035	L229	tumor	T0
E2_20.914_22.955	20.914	22.955	L230	tumor	T0
E2_9.886_22.964	9.886000000000001	22.964000000000002	L231	tumor	T0
E2_19.99_22.975	19.99	22.975	L232	tumor	T0
E2_21.941_22.982	21.941	22.982	L233	tumor	T0
E2_18.926_22.977	18.926	22.976999999999997	L234	tumor	T0
E2_17.933_22.982	17.933	22.982	L235	tumor	T0
E2_10.909_22.997	10.909	22.997	L236	tumor	T0
E2_15.912_22.985	15.912	22.985	L237	tumor	T0
E2_23.046_23.005	23.046	23.005	L238	tumor	T0
E2_8.961_22.993	8.961	22.993000000000002	L239	tumor	T0
E2_4.908_23.006	4.908	23.006	L240	tumor	T0
E2_7.918_23.011	7.917999999999999	23.011	L241	tumor	T0
E2_16.908_23.007	16.908	23.006999999999998	L242	tumor	T0
E2_13_23.017	13.0	23.017	L243	tumor	T0
E2_14.994_23.009	14.994000000000002	23.009	L244	tumor	T0
E2_13.981_23.022	13.981	23.022	L245	tumor	T0
E2_6.925_23.024	6.925	23.024	L246	tumor	T0
E2_12.034_23.033	12.034	23.033	L247	tumor	T0
E2_3.962_23.027	3.9619999999999997	23.026999999999997	L248	tumor	T0
E2_5.909_23.048	5.909	23.048000000000002	L249	tumor	T0
E2_20.907_23.959	20.906999999999996	23.959	L250	tumor	T0
E2_10.93_23.982	10.93	23.982	L251	tumor	T0
E2_21.931_23.968	21.930999999999997	23.968000000000004	L252	tumor	T0
E2_9.897_23.992	9.897	23.991999999999997	L253	tumor	T0
E2_20.001_23.981	20.000999999999998	23.980999999999998	L254	tumor	T0
E2_15.925_23.984	15.925	23.984	L255	tumor	T0
E2_8.959_23.997	8.959	23.997	L256	tumor	T0
E2_14.991_24.001	14.991	24.000999999999998	L257	tumor	T0
E2_16.903_24.006	16.903	24.006	L258	tumor	T0
E2_18.934_24.008	18.934	24.008000000000003	L259	tumor	T0
E2_7.907_24.011	7.907	24.011	L260	tumor	T0
E2_17.926_24.018	17.926	24.018	L261	tumor	T0
E2_6.94_24.023	6.94	24.023000000000003	L262	tumor	T0
E2_13.023_24.025	13.023	24.025	L263	tumor	T0
E2_4.919_24.027	4.919	24.026999999999997	L264	tumor	T0
E2_13.977_24.027	13.977	24.026999999999997	L265	tumor	T0
E2_12.053_24.065	12.052999999999999	24.065	L266	tumor	T0
E2_5.911_24.071	5.9110000000000005	24.070999999999998	L267	tumor	T0
E2_9.897_24.98	9.897	24.98	L268	tumor	T0
E2_18.938_24.968	18.938	24.968000000000004	L269	tumor	T0
E2_20.924_24.981	20.924	24.980999999999998	L270	non	non
E2_8.971_25.004	8.971	25.004	L271	tumor	T0
E2_10.91_24.997	10.91	24.997	L272	tumor	T0
E2_7.925_24.992	7.925	24.991999999999997	L273	tumor	T0
E2_19.993_25.001	19.993	25.000999999999998	L274	tumor	T0
E2_21.941_25	21.941	25.0	L275	tumor	T0
E2_15.922_24.992	15.922	24.991999999999997	L276	tumor	T0
E2_6.915_25.019	6.915	25.019000000000002	L277	tumor	T0
