"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",0.315213140541649,0.294582597451008,0.468459575839442,0.628832481272562,0.529458732807091,0.999991084508475
"ENSG00000000419",0.641744176842227,0.145461719812736,0.306253809261735,0.474971136402811,0.634807546378268,0.999991084508475
"ENSG00000000457",0.318457003187538,-0.0703534199526299,0.463818682505069,-0.151683023143125,0.879436947793716,0.999991084508475
"ENSG00000000460",0.129610695225354,-0.0924467398914841,0.885953551092754,-0.10434716332189,0.916893851248109,0.999991084508475
"ENSG00000000938",1.54153418644174,0.0898776452000161,0.21311777375858,0.421727590406559,0.673223863498657,0.999991084508475
"ENSG00000000971",1.43269999122358,-0.0745684484623459,0.225093866126326,-0.331277123386813,0.74043516954243,0.999991084508475
"ENSG00000001036",1.87349198287196,0.0143345095618251,0.196259952432946,0.07303838294123,0.941775573890886,0.999991084508475
"ENSG00000001084",0.272936533269735,-0.186849727949452,0.484554740425462,-0.385611185612153,0.699784647857262,0.999991084508475
"ENSG00000001167",0.311817475426143,-0.0899458647504545,0.468839828346421,-0.191847746953773,0.847861468906341,0.999991084508475
"ENSG00000001460",0.122645923845454,-0.164179914000361,0.9011857326919,-0.182182105246989,0.85543981592825,0.999991084508475
"ENSG00000001461",0.209006275313767,-0.00893618108192912,0.667998170847052,-0.0133775532208384,0.989326575175505,0.999991084508475
"ENSG00000001497",1.33611328816307,-0.289197657310402,0.245714294253071,-1.17696716908356,0.239208610470166,0.999991084508475
"ENSG00000001561",0.128626014880943,-0.0624897369300089,1.11759421105473,-0.0559145137939055,0.955409908583198,0.999991084508475
"ENSG00000001617",2.41420276470034,-0.0141871743134799,0.181530484143494,-0.0781531233193065,0.937706250080259,0.999991084508475
"ENSG00000001629",0.471251100393631,0.0527332157525833,0.369985228028668,0.142527895055576,0.886663047215736,0.999991084508475
"ENSG00000001631",0.325284395717931,-0.34773846727137,0.459916110182606,-0.756091077421279,0.44959459121311,0.999991084508475
"ENSG00000002016",0.14417042787552,0.231957593251768,1.24465874211735,0.18636240232176,0.852160574490296,0.999991084508475
"ENSG00000002330",6.19274436519202,-0.0510679790942132,0.115144178628703,-0.443513338688951,0.657394473363945,0.999991084508475
"ENSG00000002549",2.05681535387214,0.164066232243805,0.196650586970747,0.834303292815547,0.40411009678398,0.999991084508475
"ENSG00000002586",9.80283005374466,-0.0274515540570981,0.0840535871037789,-0.326595865839781,0.743973570806381,0.999991084508475
"ENSG00000002587",0.113532270866151,-0.0539041587683714,1.16742844022842,-0.0461734157836899,0.963172031000165,0.999991084508475
"ENSG00000002726",0.189491129941868,-0.136342928448736,0.683374306100138,-0.19951427384915,0.84186047888431,0.999991084508475
"ENSG00000002822",3.48113882430572,0.209528678813941,0.140856199441813,1.48753608037321,0.136873281238305,0.999991084508475
"ENSG00000002834",16.8254575768694,-0.0131420075067375,0.0798781503636164,-0.164525686272319,0.869317327538254,0.999991084508475
"ENSG00000002919",0.293847458315614,-0.443454161957879,0.460299965443464,-0.96340255322558,0.335345545502209,0.999991084508475
"ENSG00000002933",2.01556029939572,0.0776589110813144,0.175466549939925,0.442585273990414,0.658065738183545,0.999991084508475
"ENSG00000003056",0.834013028069959,-0.642272576770737,0.278049849678126,-2.30991880597756,0.0208926497010438,0.999991084508475
"ENSG00000003147",1.63716540556418,0.0555042185963903,0.186840226586819,0.297067818907825,0.766414732701923,0.999991084508475
"ENSG00000003249",1.80944498452085,-0.0261721969659154,0.195975734492984,-0.13354815091586,0.893759886355454,0.999991084508475
"ENSG00000003393",0.0773941342135571,0.142022301077465,1.62203739275629,0.0875579698172863,0.930228009051886,0.999991084508475
"ENSG00000003400",1.73153936301398,0.012579399627544,0.205074211918618,0.0613407190980014,0.951087862689446,0.999991084508475
"ENSG00000003402",5.92831035180206,0.0654535786043535,0.119698755216018,0.546819208656184,0.584502945038726,0.999991084508475
"ENSG00000003436",0.687769292804506,-0.363747615901602,0.297915635913502,-1.22097524282752,0.22209539359071,0.999991084508475
"ENSG00000003509",0.259007928280573,-0.00193657716837646,0.499038596316931,-0.00388061601380943,0.996903724167409,0.999991084508475
"ENSG00000003756",1.80943302608451,-0.119719852130198,0.208627010987078,-0.573846366123766,0.566071769681587,0.999991084508475
"ENSG00000004059",0.696146459310451,0.374240270388853,0.289617628974376,1.2921874670204,0.196292230905243,0.999991084508475
"ENSG00000004139",0.668515603139519,0.0163102791381536,0.356502970361559,0.0457507524316335,0.963508911540402,0.999991084508475
"ENSG00000004142",1.60312142648873,0.150437373431859,0.22204994418499,0.67749340799892,0.498092951136934,0.999991084508475
"ENSG00000004399",15.6582215118535,0.063673658195403,0.0720329144024639,0.883952269925442,0.376721979033005,0.999991084508475
"ENSG00000004455",1.80357205962481,-0.0461009525259587,0.216501825633669,-0.212935629485007,0.831377171300665,0.999991084508475
"ENSG00000004468",1.0121717388094,-0.363014916135864,0.257250782684374,-1.4111324068594,0.158205576072913,0.999991084508475
"ENSG00000004478",2.2606409166911,0.319904241319051,0.179760979306905,1.77960891486289,0.0751399862319003,0.999991084508475
"ENSG00000004487",0.470471498468333,-0.433448183139302,0.387372182723044,-1.11894504167121,0.263163585837092,0.999991084508475
"ENSG00000004534",3.45789162960351,0.34544396724446,0.16951626565376,2.03782195125768,0.0415677422543169,0.999991084508475
"ENSG00000004660",0.497470176250367,-0.210635602215873,0.331220322176603,-0.63593803916284,0.524816808017616,0.999991084508475
"ENSG00000004700",0.401440633579373,-0.36438253852031,0.403155557226076,-0.903826158387733,0.36608758882323,0.999991084508475
