"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",0.209673695736945,-0.157867443284334,1.45089615770283,-0.108806851852363,0.91335568909632,NA
"ENSG00000000419",0.522164806998308,-1.54211283245425,0.651969441985036,-2.36531458860866,0.0180147611801359,0.127781590210516
"ENSG00000000457",0.301763600143859,0.506823653776732,0.936770038520017,0.541033159618824,0.588484727206498,NA
"ENSG00000000460",0.232497973038298,-0.575501318695877,0.994095088150811,-0.578919789017778,0.562643296855074,NA
"ENSG00000000938",1.12264354536175,0.102069852305037,0.416423805205616,0.245110512485324,0.806370863382053,0.922430874373608
"ENSG00000000971",1.1882520195826,0.769074737377582,0.407425867720753,1.88764336854699,0.0590738437758044,0.257858614159262
"ENSG00000001036",1.86404587219639,-0.168285281456427,0.332532016875126,-0.506072416839256,0.612805813339551,0.818571389570819
"ENSG00000001084",0.305816553837546,-0.380014787702519,0.820140330426639,-0.463353372105032,0.643111095120036,NA
"ENSG00000001167",0.195998722712416,-0.614193150016955,1.19890242640438,-0.512296193993848,0.608443728551753,NA
"ENSG00000001460",0.0486106087366717,0.390786802079633,2.93795328470741,0.133013279725634,0.894182878121431,NA
"ENSG00000001461",0.114121346783339,0.183950168246478,1.90571182451542,0.0965257002029946,0.923103063413041,NA
"ENSG00000001497",1.00747852511606,-0.238036310970099,0.459082359319757,-0.518504591034185,0.604106257710652,0.81399773867473
"ENSG00000001561",0.0861562904187626,-0.18912694761354,2.61448593286978,-0.0723381010529845,0.942332843849697,NA
"ENSG00000001617",2.64581384529925,-0.0672109972482637,0.294021274079839,-0.228592293052962,0.81918581523345,0.928908464659952
"ENSG00000001629",0.362786130053395,-0.960592321203577,0.750381306941977,-1.28013892712529,0.200496280297124,NA
"ENSG00000001630",0.211956108331152,-0.0209380651208492,2.9377714590213,-0.00712719332082578,0.994313370631339,NA
"ENSG00000001631",0.301143881229202,-0.0510708324532684,0.930544773713893,-0.0548827245028091,0.95623189498289,NA
"ENSG00000002016",0.0717324313280996,0.390786802079633,2.93795328470741,0.133013279725634,0.894182878121431,NA
"ENSG00000002330",6.29356902458375,0.351851534422832,0.230461604695593,1.52672517787759,0.12682936386396,0.382244154607707
"ENSG00000002549",1.79459093998539,0.424222997622665,0.341284854678925,1.24301735575628,0.213861437947404,0.496507966418992
"ENSG00000002586",8.60648704369926,0.582990535837163,0.157192897553511,3.7087587601641,0.00020827774413348,0.00602303187962925
"ENSG00000002587",0.0520831075934513,0.0144349498435241,2.93795328470741,0.00491326731390207,0.996079795639563,NA
"ENSG00000002726",0.31732404633077,0.897758685283376,0.943536931948982,0.951482294846641,0.34135960209051,NA
"ENSG00000002822",3.40715369536945,0.516172206190185,0.26859778383717,1.92172920720411,0.0546398401415666,0.245084741574588
"ENSG00000002834",16.4100493710643,-1.00896687844225,0.172526675314253,-5.84817899379587,4.96983608163481e-09,9.9645213436778e-07
"ENSG00000002919",0.183621484250838,-0.108530547084906,1.23592350270386,-0.087813320846695,0.930025050162558,NA
"ENSG00000002933",1.80745187396613,-0.551720162017314,0.330767325857374,-1.66800079357057,0.0953155692493013,0.328766475015148
"ENSG00000003056",0.658423085411955,0.488722554135092,0.50899336291541,0.960174709029188,0.336967293230405,0.626871474455894
"ENSG00000003137",0.032867870113999,-0.188214581953432,2.93795328470741,-0.0640631636088712,0.948919932750744,NA
"ENSG00000003147",1.42278499504227,-1.31160179897039,0.394597088829618,-3.32390135685142,0.000887675882422535,0.0164928050804628
"ENSG00000003249",1.12557542976457,-0.455931101997678,0.409117110681075,-1.1144268721459,0.26509610039336,0.553804090948255
"ENSG00000003393",0.126575293499747,0.477594126464767,2.3274207855353,0.205203171438946,0.837413391720414,NA
"ENSG00000003400",1.23677693202868,0.52502301156461,0.385147214820416,1.36317488835902,0.172827399421903,0.449619315573675
"ENSG00000003402",5.63135192120779,0.266421884856597,0.210908443903839,1.26321108783141,0.206513329151517,0.488853866527498
"ENSG00000003436",0.65865395064937,-0.80447567744236,0.546716910067124,-1.47146660845663,0.141164971445406,0.404722260840856
"ENSG00000003509",0.184913922477886,-0.0320648290941133,1.61568755162673,-0.0198459343589231,0.984166274768564,NA
"ENSG00000003756",1.8594386220436,-0.168223258407533,0.331270172104539,-0.507812874726453,0.611584579901649,0.817666425451972
"ENSG00000004059",0.271880759263074,-0.282581383668537,0.791295039727214,-0.357112542707145,0.721007555039386,NA
"ENSG00000004139",0.463696023182826,1.01370174398433,0.705565313829887,1.43672275849537,0.150796785614046,NA
"ENSG00000004142",1.51320524726596,-0.474828178591288,0.364341992531764,-1.30324856405316,0.192489915147435,0.473355208344981
"ENSG00000004399",14.4222627509636,0.332782780485861,0.157400609039088,2.11424074225291,0.0344947106988427,0.189645938888532
"ENSG00000004455",1.9924758527712,-0.43495484594336,0.336659702261936,-1.29197181314248,0.196366906136125,0.476150665772716
"ENSG00000004468",0.937961380582022,-0.0387700187050907,0.490839304178957,-0.0789871927023909,0.937042809977038,0.975309309917266
"ENSG00000004478",2.12215223258137,-0.56238933853924,0.331225944115618,-1.69790243949892,0.0895261767723431,0.320377096897101
"ENSG00000004487",0.571054663646977,-0.959157737172725,0.551517613407614,-1.73912439758082,0.0820128840230262,0.306592602485086
"ENSG00000004534",3.12905420863966,1.01438553793653,0.28745515085461,3.52884801305782,0.00041737276295566,0.00950945897416022
"ENSG00000004660",0.600377096143489,0.107502579693742,0.661698583172285,0.162464575907596,0.870940021967792,0.947447303514624
